game_title,release_year,genre,publisher,platform,na_sales,eu_sales,jp_sales,other_sales,global_sales
game_0001,2021,Simulation,Electronic Arts,PC,0.27048,0.20608,0.07728,0.09016,0.644
game_0002,2025,Simulation,Electronic Arts,PC,0.02583,0.01968,0.007379999999999999,0.008610000000000001,0.0615
game_0003,2004,Shooter,Indie Studio,PC,0.21209999999999998,0.1616,0.0606,0.07070000000000001,0.505
game_0004,2022,Adventure,Bandai Namco,PC,0.24591,0.18736,0.07026,0.08197000000000002,0.5855
game_0005,2007,Sports,Square Enix,PC,0.12642,0.09632,0.03612,0.042140000000000004,0.301
game_0006,2011,Action,Capcom,PC,0.19173,0.14608000000000002,0.05478,0.06391000000000001,0.4565
game_0007,2012,Sports,Bandai Namco,PC,0.28895999999999994,0.22016,0.08256,0.09632,0.688
game_0008,2020,Action,Ubisoft,PC,0.08819999999999999,0.0672,0.025199999999999997,0.029400000000000003,0.21
game_0009,2012,Shooter,Electronic Arts,PC,0.30345,0.23120000000000002,0.0867,0.10115000000000002,0.7225
game_0010,2022,Racing,Activision,PC,0.25032,0.19072,0.07152,0.08344,0.596
game_0011,2016,Adventure,Sega,PC,0.17828999999999998,0.13584,0.05094,0.059430000000000004,0.4245
game_0012,2002,Action,Bandai Namco,PC,0.16002,0.12192,0.04572,0.053340000000000005,0.381
game_0013,2004,Strategy,Activision,PC,0.14573999999999998,0.11104,0.041639999999999996,0.04858,0.347
game_0014,2001,Adventure,Capcom,PC,0.1071,0.0816,0.0306,0.0357,0.255
game_0015,2007,Racing,Ubisoft,PC,0.15792,0.12032,0.04512,0.052640000000000006,0.376
game_0016,2008,Action,Square Enix,PC,0.12999,0.09904,0.03714,0.04333,0.3095
game_0017,2015,Shooter,Capcom,PC,0.18395999999999998,0.14016,0.052559999999999996,0.061320000000000006,0.438
game_0018,2004,Action,Indie Studio,PC,0.20664,0.15744,0.059039999999999995,0.06888000000000001,0.492
game_0019,2017,RPG,Bandai Namco,PC,0.16779,0.12784,0.04794,0.05593000000000001,0.3995
game_0020,2004,Action,Indie Studio,PC,0.16022999999999998,0.12208000000000001,0.04578,0.053410000000000006,0.3815
game_0021,2002,Simulation,Square Enix,PC,0.16485,0.12560000000000002,0.0471,0.054950000000000006,0.3925
game_0022,2024,Strategy,Bandai Namco,PC,0.12284999999999999,0.0936,0.0351,0.04095,0.2925
game_0023,2018,Adventure,Indie Studio,PC,0.08253,0.06288,0.02358,0.027510000000000003,0.1965
game_0024,2017,Action,Square Enix,PC,0.12789,0.09744,0.036539999999999996,0.04263,0.3045
game_0025,2008,Strategy,Indie Studio,PC,0.30261,0.23056000000000001,0.08646,0.10087000000000002,0.7205
game_0026,2004,Racing,Indie Studio,PC,0.20579999999999998,0.1568,0.0588,0.06860000000000001,0.49
game_0027,2005,Action,Square Enix,PC,0.17367,0.13232,0.04962,0.057890000000000004,0.4135
game_0028,2005,Adventure,Activision,PC,0.22302,0.16992000000000002,0.06372,0.07434000000000002,0.531
game_0029,2020,Racing,Activision,PC,0.15645,0.1192,0.0447,0.05215,0.3725
game_0030,2006,Racing,Electronic Arts,PC,0.12410999999999998,0.09455999999999999,0.03546,0.041370000000000004,0.2955
game_0031,2017,Simulation,Sega,PC,0.09681000000000001,0.07376,0.02766,0.03227000000000001,0.2305
game_0032,2015,Adventure,Sega,PC,0.19152,0.14592000000000002,0.05472,0.06384000000000001,0.456
game_0033,2011,Shooter,Square Enix,PC,0.03675,0.027999999999999997,0.010499999999999999,0.01225,0.0875
game_0034,2017,Racing,Indie Studio,PC,0.15918,0.12128,0.04548,0.05306,0.379
game_0035,2021,Adventure,Activision,PC,0.14511,0.11055999999999999,0.04146,0.04837,0.3455
game_0036,2009,Strategy,Sega,PC,0.25536,0.19456,0.07296,0.08512,0.608
game_0037,2002,Shooter,Square Enix,PC,0.18395999999999998,0.14016,0.052559999999999996,0.061320000000000006,0.438
game_0038,2014,RPG,Electronic Arts,PC,0.20265,0.1544,0.05789999999999999,0.06755,0.4825
game_0039,2006,Simulation,Bandai Namco,PC,0.19425,0.14800000000000002,0.0555,0.06475000000000002,0.4625
game_0040,2013,Adventure,Capcom,PC,0.22134,0.16864,0.06324,0.07378000000000001,0.527
game_0041,2019,Sports,Capcom,PC,0.07601999999999999,0.05792,0.02172,0.02534,0.181
game_0042,2016,Shooter,Electronic Arts,PC,0.18417,0.14032,0.05262,0.06139000000000001,0.4385
game_0043,2001,Adventure,Sega,PC,0.21944999999999998,0.1672,0.06269999999999999,0.07315,0.5225
game_0044,2019,Racing,Electronic Arts,PC,0.01974,0.01504,0.00564,0.006580000000000001,0.047
game_0045,2018,Sports,Ubisoft,PC,0.0357,0.027200000000000002,0.0102,0.011900000000000003,0.085
game_0046,2000,Adventure,Ubisoft,PC,0.19970999999999997,0.15216,0.05705999999999999,0.06657,0.4755
game_0047,2014,Action,Activision,PC,0.13671,0.10416,0.03906,0.045570000000000006,0.3255
game_0048,2012,Racing,Capcom,PC,0.2226,0.1696,0.0636,0.07420000000000002,0.53
game_0049,2012,Strategy,Sega,PC,0.1323,0.1008,0.0378,0.04410000000000001,0.315
game_0050,2006,Shooter,Capcom,PC,0.22071,0.16816,0.06305999999999999,0.07357,0.5255
game_0051,2019,RPG,Activision,PC,0.16674,0.12704000000000001,0.04764,0.05558000000000001,0.397
game_0052,2012,Adventure,Activision,PC,0.15981,0.12176000000000001,0.04566,0.053270000000000005,0.3805
game_0053,2024,Sports,Bandai Namco,PC,0.19299,0.14704,0.05514,0.06433000000000001,0.4595
game_0054,2007,Strategy,Capcom,PC,0.13419,0.10224,0.03834,0.044730000000000006,0.3195
game_0055,2024,Adventure,Activision,PC,0.14511,0.11055999999999999,0.04146,0.04837,0.3455
game_0056,2025,RPG,Capcom,PC,0.09282,0.07072,0.02652,0.030940000000000002,0.221
game_0057,2024,Action,Sega,PC,0.27846,0.21216000000000002,0.07956,0.09282000000000001,0.663
game_0058,2019,Sports,Activision,PC,0.23687999999999998,0.18047999999999997,0.06767999999999999,0.07896,0.564
game_0059,2015,Action,Square Enix,PC,0.24947999999999998,0.19008,0.07128,0.08316,0.594
game_0060,2014,Shooter,Indie Studio,PC,0.18144,0.13824,0.05184,0.060480000000000006,0.432
